2.0000000e-01 9.91953e+02 1.6244605e+01  4.2564914e-02 3.9683443e-03 9.135641e-03 1.152859e-03 
4.0000000e-01 2.05357e+02 3.5704313e+00  7.9599252e-02 7.4382055e-03 2.277232e-02 2.873105e-03 
5.9999999e-01 6.03398e+01 1.1482876e+00  1.1211606e-01 1.0468987e-02 3.694856e-02 4.672139e-03 
8.0000000e-01 2.12553e+01 4.4798916e-01  1.4059219e-01 1.3095843e-02 5.046172e-02 6.401946e-03 
1.0000000e+00 8.10111e+00 1.9114977e-01  1.6699752e-01 1.5502327e-02 6.383572e-02 8.132650e-03 
1.1999999e+00 3.29385e+00 8.7084151e-02  1.9081022e-01 1.7642897e-02 7.662035e-02 9.808497e-03 
1.3999999e+00 1.41737e+00 4.1405933e-02  2.1019357e-01 1.9377119e-02 8.753547e-02 1.126347e-02 
1.6000000e+00 6.19886e-01 2.0074485e-02  2.2894563e-01 2.1074500e-02 9.820635e-02 1.273024e-02 
1.8000000e+00 2.77929e-01 1.0026062e-02  2.4480998e-01 2.2500556e-02 1.071455e-01 1.404862e-02 
2.0000000e+00 1.24577e-01 5.0335157e-03  2.5780669e-01 2.3653774e-02 1.142785e-01 1.519533e-02 
2.2000000e+00 5.56414e-02 2.4956619e-03  2.6456383e-01 2.4224800e-02 1.179808e-01 1.596783e-02 
2.3999999e+00 2.46488e-02 1.1951993e-03  2.6071932e-01 2.3892126e-02 1.163152e-01 1.609368e-02 
2.6000000e+00 1.08875e-02 5.4517431e-04  2.4149924e-01 2.2376143e-02 1.074211e-01 1.528439e-02 
2.7999999e+00 4.94589e-03 2.3936956e-04  2.0293095e-01 1.9399435e-02 8.983582e-02 1.333312e-02 
3.0000000e+00 2.39359e-03 1.0168770e-04  1.4571075e-01 1.4918040e-02 6.434148e-02 1.009567e-02 
