1.000e+00 3.810265e-01 9.21417e-03 8.26234e-02 7.88121e-03 2.5839216e-02 3.350896e-03 
1.199e+00 1.805926e-01 4.58866e-03 9.27176e-02 8.83484e-03 3.1557984e-02 4.100026e-03 
1.399e+00 9.117772e-02 2.42942e-03 9.87096e-02 9.41316e-03 3.5965357e-02 4.692499e-03 
1.600e+00 4.840932e-02 1.34497e-03 1.00829e-01 9.64649e-03 3.8768463e-02 5.091959e-03 
1.800e+00 2.681975e-02 7.70688e-04 9.92435e-02 9.55498e-03 3.9816803e-02 5.278606e-03 
2.000e+00 1.542122e-02 4.53720e-04 9.42273e-02 9.16083e-03 3.9085768e-02 5.243565e-03 
2.200e+00 9.209464e-03 2.75093e-04 8.73492e-02 8.60520e-03 3.7269691e-02 5.076621e-03 
2.399e+00 5.690948e-03 1.71088e-04 7.89620e-02 7.91103e-03 3.4492158e-02 4.788108e-03 
2.600e+00 3.627313e-03 1.08829e-04 6.94179e-02 7.10081e-03 3.0917107e-02 4.393317e-03 
2.799e+00 2.383327e-03 7.08775e-05 5.96526e-02 6.25432e-03 2.7011403e-02 3.948849e-03 
3.000e+00 1.610780e-03 4.71981e-05 5.00526e-02 5.40047e-03 2.2985862e-02 3.474451e-03 
