#correlator  value  value_err
4(24)  -2.83522e-02  8.93597e-02
6(23)  -1.03189e-01  1.77748e-01
6(26)  -4.18086e-01  2.46713e-01
6(36)  -5.71233e-02  9.29766e-02
(235)  1.62057e-01  9.13849e-02
(246)  6.26906e-02  6.73989e-02
(234)  -1.71577e-01  8.97772e-02
