# type  value  stat. err
v4_L  2.3148485479e-02  1.0247311362e-03
v4(Psi2)  -4.2396150739e-04  1.7732741932e-03
rho_422  -1.8311799275e-02  7.6595766568e-02
chi_422  -5.9241200949e+00  2.4765649293e+01
v5_L  8.0746623528e-03  5.4661525499e-04
v5(Psi23)  1.3638169748e-03  1.1358646003e-03
rho_523  1.6654199790e-01  1.3908492575e-01
chi_523  3.0216317201e+00  2.5060842729e+00
v6_L  2.4534493984e-05  2.7586751805e-06
v6(Psi2)  -6.8497963788e-04  5.7742122679e-04
v6(Psi3)  -2.2227738943e-04  5.2955387973e-04
rho_6222  -1.3687252472e-01  1.1560417545e-01
rho_633  -4.4415433392e-02  1.0584111034e-01
chi_6222  -7.1360637131e+02  5.8234225094e+02
chi_633  -3.7129789350e-02  8.8412092380e-02
