# type  value  stat. err
v4_L  1.8076628128e-02  7.7879821862e-04
v4(Psi2)  -3.8166779210e-04  1.4838672600e-03
rho_422  -2.1109177267e-02  8.2074348517e-02
chi_422  -2.6864391986e+00  1.0437863739e+01
v5_L  6.1158402721e-03  4.3274608341e-04
v5(Psi23)  1.5426445521e-03  7.9419992349e-04
rho_523  2.4457705769e-01  1.2673891145e-01
chi_523  2.9241899878e+00  1.4926903721e+00
v6_L  1.8994365172e-05  1.9055015105e-06
v6(Psi2)  -3.7204825884e-04  3.6845530932e-04
v6(Psi3)  -1.8784920485e-04  4.6498647392e-04
rho_6222  -8.4999994575e-02  8.4282087717e-02
rho_633  -4.2916963093e-02  1.0625392965e-01
chi_6222  -1.3661746946e+02  1.3218036507e+02
chi_633  -4.6924956776e-02  1.1609640928e-01
