0.5	1.0001188261	1.0029877781	1.0047350297	1.0055374912
0.5979899497	1.0001501845	1.0032386884	1.0048947474	1.0056573288
0.6959798995	1.0001863915	1.0035008412	1.0050791998	1.0058106277
0.7939698492	1.0002276818	1.0037739613	1.0052846043	1.0059912444
0.891959799	1.0002742656	1.0040578211	1.0055082588	1.0061948516
0.9899497487	1.0003263307	1.0043522288	1.0057481819	1.0064183151
1.0879396985	1.000384044	1.004657019	1.0060028865	1.006659309
1.1859296482	1.0004475539	1.0049720473	1.0062712338	1.0069160704
1.283919598	1.0005169914	1.0052971856	1.0065523357	1.0071872379
1.3819095477	1.0005924719	1.005632319	1.0068454886	1.0074717423
1.4798994975	1.0006740971	1.0059773433	1.0071501267	1.0077687313
1.5778894472	1.0007619557	1.0063321634	1.0074657889	1.0080775159
1.675879397	1.0008561253	1.0066966912	1.0077920952	1.0083975323
1.7738693467	1.000956673	1.0070708455	1.0081287283	1.0087283142
1.8718592965	1.001063657	1.0074545501	1.0084754211	1.0090694711
1.9698492462	1.0011771271	1.0078477337	1.0088319463	1.0094206735
2.067839196	1.0012971255	1.0082503292	1.0091981088	1.0097816406
2.1658291457	1.001423688	1.008662273	1.0095737398	1.0101521309
2.2638190955	1.0015568444	1.0090835047	1.0099586921	1.0105319353
2.3618090452	1.001696619	1.009513967	1.0103528362	1.0109208715
2.459798995	1.0018430316	1.0099536051	1.0107560577	1.0113187791
2.5577889447	1.0019960974	1.0104023664	1.0111682547	1.0117255162
2.6557788945	1.002155828	1.0108602008	1.0115893359	1.0121409568
2.7537688442	1.0023222313	1.0113270599	1.0120192192	1.0125649879
2.851758794	1.0024953123	1.0118028972	1.01245783	1.0129975079
2.9497487437	1.0026750733	1.0122876678	1.0129051006	1.0134384248
3.0477386935	1.0028615139	1.0127813285	1.013360969	1.0138876552
3.1457286432	1.0030546317	1.0132838374	1.0138253783	1.0143451227
3.243718593	1.0032544222	1.013795154	1.0142982758	1.0148107574
3.3417085427	1.0034608792	1.0143152389	1.014779613	1.0152844948
3.4396984925	1.0036739949	1.0148440542	1.0152693445	1.0157662753
3.5376884422	1.0038937601	1.0153815628	1.0157674282	1.0162560437
3.635678392	1.0041201644	1.0159277288	1.0162738245	1.0167537484
3.7336683417	1.0043531963	1.0164825172	1.0167884962	1.0172593414
3.8316582915	1.0045928433	1.0170458939	1.0173114085	1.0177727776
3.9296482412	1.0048390919	1.0176178258	1.0178425282	1.0182940146
4.027638191	1.0050919281	1.0181982806	1.0183818242	1.0188230126
4.1256281407	1.0053513369	1.0187872267	1.0189292666	1.0193597337
4.2236180905	1.0056173031	1.0193846332	1.0194848273	1.0199041422
4.3216080402	1.0058898107	1.0199904702	1.0200484794	1.0204562042
4.41959799	1.0061688433	1.0206047083	1.0206201969	1.0210158874
4.5175879397	1.0064543841	1.0212273186	1.0211999554	1.021583161
4.6155778895	1.0067464161	1.0218582731	1.0217877312	1.0221579956
4.7135678392	1.007044922	1.0224975444	1.0223835015	1.0227403631
4.8115577889	1.007349884	1.0231451053	1.0229872445	1.0233302363
4.9095477387	1.0076612844	1.0238009297	1.0235989392	1.0239275894
5.0075376884	1.0079791052	1.0244649915	1.0242185652	1.0245323975
5.1055276382	1.0083033284	1.0251372656	1.0248461029	1.0251446364
5.2035175879	1.0086339357	1.0258177269	1.0254815333	1.0257642831
5.3015075377	1.008970909	1.0265063512	1.0261248379	1.0263913151
5.3994974874	1.0093142299	1.0272031145	1.0267759989	1.0270257107
5.4974874372	1.0096638801	1.0279079933	1.027434999	1.0276674491
5.5954773869	1.0100198413	1.0286209646	1.0281018214	1.0283165097
5.6934673367	1.0103820951	1.0293420058	1.0287764496	1.028972873
5.7914572864	1.0107506234	1.0300710944	1.0294588676	1.0296365198
5.8894472362	1.0111254078	1.0308082088	1.0301490601	1.0303074314
5.9874371859	1.0115064302	1.0315533273	1.0308470117	1.0309855898
6.0854271357	1.0118936725	1.0323064288	1.0315527077	1.0316709771
6.1834170854	1.0122871166	1.0330674925	1.0322661336	1.0323635764
6.2814070352	1.0126867447	1.033836498	1.0329872754	1.0330633706
6.3793969849	1.0130925388	1.0346134252	1.0337161191	1.0337703436
6.4773869347	1.0135044813	1.0353982541	1.0344526514	1.0344844793
6.5753768844	1.0139225545	1.0361909653	1.035196859	1.0352057619
6.6733668342	1.0143467409	1.0369915395	1.0359487289	1.0359341764
6.7713567839	1.0147770231	1.0377999579	1.0367082484	1.0366697075
6.8693467337	1.0152133838	1.0386162018	1.0374754051	1.0374123408
6.9673366834	1.015655806	1.0394402527	1.0382501867	1.0381620619
7.0653266332	1.0161042725	1.0402720927	1.0390325813	1.0389188566
7.1633165829	1.0165587666	1.0411117039	1.0398225771	1.0396827112
7.2613065327	1.0170192715	1.0419590686	1.0406201625	1.0404536122
7.3592964824	1.0174857706	1.0428141695	1.0414253261	1.0412315462
7.4572864322	1.0179582475	1.0436769895	1.0422380569	1.0420165002
7.5552763819	1.0184366858	1.0445475117	1.0430583437	1.0428084613
7.6532663317	1.0189210694	1.0454257195	1.0438861758	1.0436074171
7.7512562814	1.0194113823	1.0463115964	1.0447215426	1.044413355
7.8492462312	1.0199076086	1.0472051263	1.0455644335	1.045226263
7.9472361809	1.0204097325	1.048106293	1.0464148383	1.046046129
8.0452261307	1.0209177384	1.0490150809	1.0472727468	1.0468729412
8.1432160804	1.021431611	1.0499314743	1.048138149	1.0477066882
8.2412060302	1.0219513349	1.0508554578	1.0490110351	1.0485473583
8.3391959799	1.022476895	1.0517870163	1.0498913952	1.0493949404
