-112.488	68.4846	-112.067	67.7913
-43.1206	20.4007	-42.0108	17.9363
-23.6333	15.2612	-21.542	11.7655
-15.1934	13.1605	-11.6774	8.87249
-13.1757	11.7573	-8.89503	6.61486
-11.4657	12.7371	-6.08144	8.23137
-10.5131	12.4046	-4.00584	7.7068
-10.344	14.9375	-3.53849	11.3424
-13.9563	12.237	-10.0149	7.43417
-12.5122	11.2718	-7.87895	5.70745
-11.1703	11.6963	-5.50423	6.50572
-11.7212	10.9635	-6.55048	5.07149
-14.7179	11.5314	-11.0516	6.20433
-14.6258	14.6161	-10.9286	10.9157
-14.3487	14.4994	-10.5549	10.7589
-15.4567	15.7226	-12.0179	12.3581
-26.7509	14.0222	-24.9225	10.1067
-74.5392	80.5285	-73.9027	79.9397
-56.5132	79.5736	-55.671	78.9777
