Pt bin	YieldExtraction	OpeningAngle	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatchingCalo	ClusterM02	ClusterMaterialTRD	ClusterEnergyScale	CellTiming	Trigger	Efficiency	YieldExtractionPi0	
3.5	13.08	1.77125	2.18665	0.5	7.315	6.30625	0.8875	0	2.48078	0	0	5.38516	0.886189	17.5858
5	11.8593	5.325	2.04637	0.5	7.6	6.625	1	0	1.56541	0	0	5.38516	0.77342	17.5538
7	10.9486	5.665	2.03736	0.5	8.12	7.225	1.22	0	1.15662	0	0	5.38516	0.962833	17.5287
