-66.434	66.434	-65.8216	65.8216
-47.8999	47.8999	-47.0468	47.0468
-9.9593	9.9593	-4.2647	4.2647
-10.0086	10.0086	-4.37867	4.37867
-9.72729	9.72729	-3.69054	3.69054
-9.29723	9.29723	-2.33204	2.33204
-9.30752	9.30752	-2.37273	2.37273
-9.41576	9.41576	-2.76705	2.76705
-9.38631	9.38631	-2.66511	2.66511
-9.42355	9.42355	-2.79344	2.79344
-9.71576	9.71576	-3.66006	3.66006
-9.68302	9.68302	-3.57224	3.57224
-9.52501	9.52501	-3.11862	3.11862
-9.72794	9.72794	-3.69227	3.69227
-10.4917	10.4917	-5.39227	5.39227
-10.8139	10.8139	-5.995	5.995
-14.1721	14.1721	-10.9475	10.9475
-10.9805	10.9805	-6.29058	6.29058
-14.9691	14.9691	-11.9614	11.9614
-15.713	15.713	-12.8802	12.8802
-22.9366	22.9366	-21.0971	21.0971
-41.6209	41.6209	-40.6361	40.6361
