Pt bin	YieldExtraction	OpeningAngle	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatchingCalo	ClusterM02	ClusterMaterialTRD	ClusterEnergyScale	CellTiming	Trigger	Efficiency	
3.25	0.879796	1.73156	1.26191	1.5	3.63813	1.97875	0.873125	4.24	1.36926	0.95	4.65911	9.14886	12.3163
3.75	1.42428	1.81406	1.18214	1.5	3.67813	2.04375	0.903125	4.24	1.13063	0.95	4.65911	7.055	10.9145
4.5	0.942581	1.96125	1.14296	1.5	3.7475	2.16	0.9575	4.24	0.889679	0.95	4.65911	5.00572	9.71358
5.5	1.65739	5.39875	1.13202	1.5	3.8575	2.35	1.0475	4.24	0.705094	0.95	4.65911	3.50286	10.5014
6.5	1.05122	5.56875	1.13032	1.5	3.9875	2.58	1.1575	4.24	0.607944	0.95	4.65911	2.75143	10.3955
7.5	0.81493	5.76875	1.13005	1.5	4.1375	2.85	1.2875	4.24	0.556813	0.95	4.65911	2.37572	10.5314
8.5	2.17191	5.99875	1.13001	1.5	4.3075	3.16	1.4375	4.24	0.529901	0.95	4.65911	2.18786	10.9768
9.5	6.18895	6.25875	1.13	1.5	4.4975	3.51	1.6075	4.24	0.515738	0.95	4.65911	2.09393	12.7032
10.5	4.31866	6.54875	1.13	1.5	4.7075	3.9	1.7975	4.24	0.508283	0.95	4.65911	2.04696	12.276
11.5	4.30724	6.86875	1.13	1.5	4.9375	4.33	2.0075	4.24	0.504359	0.95	4.65911	2.02348	12.7025
