p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
0.5	9.72	13.3838	28.0678	15.2204	17.2592	39.8867
0.7	9.72	5.64779	6.04943	6.09391	8.03795	16.2701
0.9	9.72	3.28664	5.49798	1.48434	5.34037	12.8931
1.1	9.72	3.93596	1.2762	1.09185	1.58271	10.7376
1.3	9.72	1.65664	2.52409	1.05249	1.24743	10.3081
1.5	9.72	2.62812	1.78419	1.26052	0.800334	10.3343
1.7	9.72	3.57337	3.39636	1.45612	2.21742	11.2169
1.9	9.72	1.56383	4.06752	2.21816	1.3572	10.965
2.1	9.72	2.42597	5.33083	0.865331	1.0895	11.4332
2.3	9.72	1.26295	3.69782	1.02013	1.84236	10.6856
2.5	9.72	3.32829	3.68947	1.79115	1.00105	11.1076
2.8	9.72	2.81288	5.1718	2.57506	0.897826	11.6865
3.25	9.72	1.90884	6.08434	1.78899	0.725774	11.7842
3.75	9.72	3.5607	7.25215	1.59401	0.906092	12.7715
4.5	9.72	2.38354	7.19413	4.77222	2.79786	13.5099
5.5	9.72	3.94494	7.13689	2.74394	1.76085	13.0998
7	9.72	3.47132	8.87511	3.56641	1.27212	14.1292
9	9.72	45.4801	28.0607	8.95487	4.88848	55.2667
11	9.72	4.58798	30.3241	8.70549	1.62406	33.3692
