p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
1.75	9.72	7.24401	3.90759	1.12956	0.522139	12.7973
3	9.72	6.50299	7.21936	0.63171	0.847392	13.7842
5.5	9.72	11.4037	10.2198	1.20614	0.953482	18.2025
