p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
1.75	9.72	28.0111	25.1772	13.6868	26.597	49.0685
3	9.72	11.8724	18.4199	12.1874	11.356	29.1927
5.5	9.72	36.2364	29.7169	45.4933	11.4203	67.0128
