Pt bin	YieldExtraction	OpeningAngle	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatchingCalo	ClusterM02	ClusterMaterialTRD	ClusterEnergyScale	CellTiming	Trigger	Efficiency	
7.5	2	5.76875	1.13005	1.5	4.1375	2.85	1.2875	4.24	0.556813	0.95	10.7772	14.8317	20.5675
8.5	2	5.99875	1.13001	1.5	4.3075	3.16	1.4375	4.24	0.529901	0.95	10.7772	10.9822	18.1669
9.5	2	6.25875	1.13	1.5	4.4975	3.51	1.6075	4.24	0.515738	0.95	10.7772	8.28754	16.9059
10.5	2	6.54875	1.13	1.5	4.7075	3.9	1.7975	4.24	0.508283	0.95	10.7772	6.40128	16.3486
11.5	2	6.86875	1.13	1.5	4.9375	4.33	2.0075	4.24	0.504359	0.95	10.7772	5.0809	16.2161
13	2	7.405	1.13	1.5	5.32	5.05	2.36	4.24	0.501665	0.95	10.7772	3.80436	16.4769
15	2	8.225	1.13	1.5	5.9	6.15	2.9	4.24	0.500461	0.95	10.7772	2.88414	17.3152
18	2	9.68	1.13	1.5	6.92	8.1	3.86	4.24	0.500067	0.95	10.7772	2.30326	19.2408
