p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
0.5	9.72	37.9877	28.5228	30.7666	40.2676	70.1367
0.7	9.72	10.4067	13.3462	12.8994	5.71464	24.0821
0.9	9.72	5.73455	2.84993	4.54458	2.96556	12.8426
1.1	9.72	6.77752	2.71538	2.63556	1.51739	12.5314
1.3	9.72	3.32178	1.36396	1.76308	2.13747	10.7261
1.5	9.72	3.30674	2.05017	2.19581	2.55662	10.9988
1.7	9.72	3.18943	1.64527	0.551546	2.79898	10.7469
1.9	9.72	4.50347	2.58143	1.61668	1.54688	11.2441
2.1	9.72	4.36296	2.75994	0.603693	0.908905	11.0599
2.3	9.72	1.6485	3.88597	2.80892	1.7923	11.1085
2.5	9.72	1.42987	3.30188	1.22446	1.37498	10.5269
2.8	9.72	1.05641	4.24831	1.9311	0.8019	10.8635
3.25	9.72	2.57425	4.86407	2.32797	2.67208	11.7185
3.75	9.72	3.50171	7.29536	3.37623	2.28292	13.2881
4.5	9.72	5.60608	5.74747	2.34755	0.619022	12.8388
5.5	9.72	2.72588	4.08627	4.28961	1.82287	11.8461
7	9.72	1.85189	12.2257	3.1592	5.86941	17.0823
9	9.72	26.3436	43.6415	30.9665	12.4612	61.7029
11	9.72	29.342	17.6176	24.0164	7.90643	43.6476
