Pt bin	YieldExtraction	dEdxE	dEdxPi	TPCCluster	SinglePt	Chi2	Qt	Alpha	ConvPhi	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatching	ClusterM02	CellTiming	ClusterMaterialTRD	Trigger	Efficiency	YieldExtractionPi0	
2.5	27.9858	2.11896	2.72	1.2	4.37	5.13875	5.875	0	3.5	2.88199	2.12132	4.175	5.87132	2.5375	0	0	0	22.0549	2.49011	38.1126
3.5	6.21829	2.11896	2.948	1.2	4.498	5.23675	6.095	0	3.5	1.92258	2.12132	4.315	4.85066	2.6975	0	0	0	13.6175	2.36042	19.9742
5	9.59673	2.11896	3.44	1.2	4.84	5.515	6.5	0	3.5	1.40526	2.12132	4.6	4.375	3.05	0	0	0	8.23344	3.08646	18.7509
7	11.5827	2.11896	4.376	1.2	5.576	6.131	7.18	0	3.5	14.106	2.12132	5.12	4.65375	3.73	0	0	0	6.08304	2.34401	24.4844
