p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
0.5	9.72	4.53874	6.14	5.26346	18.4203	22.7989
0.7	9.72	6.57421	2.24851	1.53794	0.569887	12.06
0.9	9.72	4.24752	1.14776	0.986582	1.61271	10.8357
1.1	9.72	3.29963	1.7834	0.919194	0.605496	10.4765
1.3	9.72	2.60952	4.56772	1.04442	0.359153	11.1073
1.5	9.72	1.33501	3.8398	1.81179	1.34686	10.775
1.7	9.72	1.2314	5.6366	2.74346	1.21942	11.6953
1.9	9.72	2.38793	5.74075	1.49951	1.46187	11.727
2.1	9.72	1.54436	9.03434	2.53972	1.0641	13.6406
2.3	9.72	1.32315	7.47923	1.52163	1.34239	12.5014
2.5	9.72	2.92523	9.43628	1.04025	1.81775	14.0166
2.8	9.72	1.37519	7.19672	1.99466	0.746474	12.3571
3.25	9.72	4.01862	8.65066	0.734491	0.952056	13.6714
3.75	9.72	1.57411	4.58967	1.47889	1.38805	11.0515
4.5	9.72	2.48496	14.7514	1.4972	1.29784	17.9495
5.5	9.72	4.67768	24.002	9.98784	2.33467	28.2429
7	9.72	7.41366	15.302	17.1845	4.44827	26.4327
9	9.72	9.65709	19.2952	17.8662	3.85232	29.9012
11	9.72	9.28203	39.9523	29.6777	1.48733	51.5732
