Pt bin	YieldExtraction	dEdxE	dEdxPi	TPCCluster	SinglePt	Chi2	Qt	Alpha	ConvPhi	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatching	ClusterM02	CellTiming	ClusterMaterialTRD	Trigger	Efficiency	
5.5	1.71447	2.5	1.644	0.8	1.189	1.54275	1.755	0	1.8	1.13	1.5	2.3575	2.14863	1.59875	0.95	4.24	10.7772	28.1872	31.1709
6.5	4.02106	2.5	2.112	0.8	1.317	1.85075	2.095	0	1.8	1.13	1.5	2.4875	2.47763	1.76875	0.95	4.24	10.7772	20.331	24.7153
7.5	3.87225	2.5	2.66	0.8	1.485	2.22875	2.475	0	1.8	1.13	1.5	2.6375	2.81562	1.96875	0.95	4.24	10.7772	14.8317	20.639
8.5	4.52452	2.5	3.288	0.8	1.693	2.67675	2.895	0	1.8	1.13	1.5	2.8075	3.16263	2.19875	0.95	4.24	10.7772	10.9822	18.571
9.5	1.1894	2.5	3.996	0.8	1.941	3.19475	3.355	0	1.8	1.13	1.5	2.9975	3.51863	2.45875	0.95	4.24	10.7772	8.28754	17.046
11	1.46627	2.5	5.208	0.8	2.388	4.103	4.12	0	1.8	1.13	1.5	3.32	4.0695	2.905	0.95	4.24	10.7772	5.68238	16.9987
13	1.07042	2.5	7.104	0.8	3.124	5.559	5.28	0	1.8	1.13	1.5	3.82	4.8355	3.605	0.95	4.24	10.7772	3.80436	18.37
15	4.13103	2.5	9.32	0.8	4.02	7.295	6.6	0	1.8	1.13	1.5	4.4	5.6375	4.425	0.95	4.24	10.7772	2.88414	21.1605
