-5.99711	5.99711	-3.96425	3.96425	-3.59692	3.59692	-1.66657	1.66657	-4.5	4.5
-5.69515	5.69515	-3.49066	3.49066	-2.95661	2.95661	-1.85556	1.85556	-4.5	4.5
-6.69978	6.69978	-4.96357	4.96357	-3.90732	3.90732	-3.06103	3.06103	-4.5	4.5
-6.96582	6.96582	-5.31721	5.31721	-3.48127	3.48127	-4.01914	4.01914	-4.5	4.5
-6.61892	6.61892	-4.85388	4.85388	-3.4421	3.4421	-3.4223	3.4223	-4.5	4.5
-5.83698	5.83698	-3.71757	3.71757	-3.19635	3.19635	-1.89834	1.89834	-4.5	4.5
-6.48199	6.48199	-4.66542	4.66542	-3.33501	3.33501	-3.2625	3.2625	-4.5	4.5
-7.53391	7.53391	-6.04233	6.04233	-3.85145	3.85145	-4.65576	4.65576	-4.5	4.5
-8.43994	8.43994	-7.14021	7.14021	-5.40472	5.40472	-4.66601	4.66601	-4.5	4.5
-7.63815	7.63815	-6.17182	6.17182	-5.63644	5.63644	-2.51435	2.51435	-4.5	4.5
-8.68351	8.68351	-7.42653	7.42653	-5.42168	5.42168	-5.0753	5.0753	-4.5	4.5
-7.31035	7.31035	-5.76118	5.76118	-4.66198	4.66198	-3.38484	3.38484	-4.5	4.5
-9.18815	9.18815	-8.01075	8.01075	-6.38055	6.38055	-4.84363	4.84363	-4.5	4.5
-12.8025	12.8025	-11.9855	11.9855	-11.0331	11.0331	-4.68221	4.68221	-4.5	4.5
-14.1309	14.1309	-13.3952	13.3952	-11.3777	11.3777	-7.06962	7.06962	-4.5	4.5
-13.8068	13.8068	-13.0528	13.0528	-8.22663	8.22663	-10.1341	10.1341	-4.5	4.5
-11.1567	11.1567	-10.2089	10.2089	-5.99167	5.99167	-8.26571	8.26571	-4.5	4.5
-18.7002	18.7002	-18.1507	18.1507	-10.17	10.17	-15.0339	15.0339	-4.5	4.5
-25.9945	25.9945	-25.602	25.602	-18.2217	18.2217	-17.9843	17.9843	-4.5	4.5
