0.9	-8.40856	8.40856	-7.03927	7.03927
1.1	-7.2478	7.2478	-5.60162	5.60162
1.3	-6.56755	6.56755	-4.6883	4.6883
1.5	-7.07529	7.07529	-5.37655	5.37655
1.7	-6.41911	6.41911	-4.478	4.478
1.9	-6.51297	6.51297	-4.61154	4.61154
2.1	-6.55982	6.55982	-4.67747	4.67747
2.3	-6.6198	6.6198	-4.76123	4.76123
2.5	-6.59929	6.59929	-4.73267	4.73267
2.8	-6.73927	6.73927	-4.92598	4.92598
3.25	-7.31844	7.31844	-5.69272	5.69272
3.75	-6.84971	6.84971	-5.07602	5.07602
4.5	-7.0068	7.0068	-5.28609	5.28609
5.5	-7.87074	7.87074	-6.38718	6.38718
7	-13.0957	13.0957	-12.2615	12.2615
9	-9.52673	9.52673	-8.34303	8.34303
