1: 	2.14397	2.16647	2.88303	2.4632	3.84187	4.5	
1.2: 	1.63026	1.84457	2.7724	2.33684	1.39797	4.5	
1.4: 	2.99667	4.30307	3.66208	2.72048	2.55754	4.5	
1.6: 	2.50807	2.22672	3.82364	2.48099	3.6508	4.5	
1.8: 	3.15374	3.80912	4.3778	2.29279	2.58076	4.5	
2: 	2.06653	4.44345	3.87031	2.30541	3.03153	4.5	
2.2: 	4.2932	4.1087	3.53194	2.48669	1.93587	4.5	
2.4: 	2.38609	4.28048	4.63495	2.29972	2.74567	4.5	
2.6: 	4.1611	3.04752	6.27028	2.31709	4.01434	4.5	
2.85: 	3.68409	4.34694	7.47483	2.44827	3.09078	4.5	
3.15: 	3.65708	7.02187	5.40537	2.37682	3.0833	4.5	
3.5: 	2.18861	6.25156	3.51309	2.30686	3.97548	4.5	
3.9: 	4.53071	5.44285	4.77746	2.29733	7.10713	4.5	
4.35: 	5.0487	8.24514	9.14126	2.46115	6.06729	4.5	
5: 	5.79099	6.05481	9.15095	2.29984	6.60483	4.5	
5.8: 	6.31731	8.64259	6.39577	2.29318	10.003	4.5	
6.6: 	13.3774	10.0548	9.77212	2.31785	5.32851	4.5	
7.5: 	8.00014	11.7028	19.3555	2.37643	8.17913	4.5	
9.5: 	10.0364	16.3697	11.0334	2.33033	18.6831	4.5	
