2.5	-54.7197	54.7197	-54.5261	54.5261
3.5	-25.8876	25.8876	-25.4758	25.4758
5	-20.6637	20.6637	-20.1454	20.1454
7	-16.1375	16.1375	-15.4682	15.4682
9	-18.0098	18.0098	-17.4127	17.4127
11	-20.6879	20.6879	-20.1702	20.1702
14	-24.7226	24.7226	-24.291	24.291
