-5.74755	5.74755	-3.57551	3.57551	-3.36122	3.36122	-1.21921	1.21921	-4.5	4.5
-5.93193	5.93193	-3.86494	3.86494	-3.05139	3.05139	-2.37208	2.37208	-4.5	4.5
-6.1841	6.1841	-4.24183	4.24183	-3.25022	3.25022	-2.72566	2.72566	-4.5	4.5
-5.58881	5.58881	-3.31434	3.31434	-2.16591	2.16591	-2.50872	2.50872	-4.5	4.5
-5.38303	5.38303	-2.95415	2.95415	-1.89065	1.89065	-2.26991	2.26991	-4.5	4.5
-5.48158	5.48158	-3.13013	3.13013	-2.2478	2.2478	-2.17833	2.17833	-4.5	4.5
-5.52413	5.52413	-3.20407	3.20407	-2.22634	2.22634	-2.30423	2.30423	-4.5	4.5
-5.66799	5.66799	-3.44617	3.44617	-2.32013	2.32013	-2.54815	2.54815	-4.5	4.5
-5.81242	5.81242	-3.67889	3.67889	-2.40657	2.40657	-2.78256	2.78256	-4.5	4.5
-6.05204	6.05204	-4.04688	4.04688	-2.43631	2.43631	-3.23135	3.23135	-4.5	4.5
-6.3942	6.3942	-4.54266	4.54266	-3.1144	3.1144	-3.307	3.307	-4.5	4.5
-6.51439	6.51439	-4.71033	4.71033	-3.02996	3.02996	-3.60646	3.60646	-4.5	4.5
-6.95332	6.95332	-5.30082	5.30082	-3.60692	3.60692	-3.88444	3.88444	-4.5	4.5
-7.15562	7.15562	-5.56353	5.56353	-3.86885	3.86885	-3.9981	3.9981	-4.5	4.5
-8.05747	8.05747	-6.68377	6.68377	-4.50988	4.50988	-4.93293	4.93293	-4.5	4.5
-10.3789	10.3789	-9.35264	9.35264	-5.55631	5.55631	-7.52325	7.52325	-4.5	4.5
-12.1347	12.1347	-11.2695	11.2695	-6.50092	6.50092	-9.20539	9.20539	-4.5	4.5
-12.6825	12.6825	-11.8573	11.8573	-7.24331	7.24331	-9.3878	9.3878	-4.5	4.5
-18.5972	18.5972	-18.0446	18.0446	-6.25367	6.25367	-16.9263	16.9263	-4.5	4.5
