1.5	-9.58292	9.58292	-8.59388	8.59388
1.7	-8.37547	8.37547	-7.22295	7.22295
1.9	-7.57599	7.57599	-6.27838	6.27838
2.1	-7.12582	7.12582	-5.7271	5.7271
2.3	-6.93387	6.93387	-5.48643	5.48643
2.5	-6.86492	6.86492	-5.39903	5.39903
2.8	-6.52649	6.52649	-4.9616	4.9616
3.25	-6.44726	6.44726	-4.85691	4.85691
3.75	-6.56747	6.56747	-5.01539	5.01539
4.5	-6.68179	6.68179	-5.16417	5.16417
5.5	-8.31928	8.31928	-7.15771	7.15771
7	-8.70371	8.70371	-7.60111	7.60111
9	-9.97535	9.97535	-9.02939	9.02939
11	-10.5036	10.5036	-9.60975	9.60975
