1: 	4.50637	5.71725	6.44574	2.40596	4.69699	4.5	
1.2: 	3.40156	7.23941	5.0264	2.70082	3.8283	4.5	
1.4: 	2.78317	6.16841	4.45899	2.26288	2.98698	4.5	
1.6: 	1.2646	3.5721	3.12254	2.42276	2.085	4.5	
1.8: 	0.504774	2.26433	2.75074	2.45788	1.75759	4.5	
2: 	0.33566	1.83426	2.21481	2.35929	1.84763	4.5	
2.2: 	0.338015	1.51163	2.00741	2.51864	2.1015	4.5	
2.4: 	0.216623	1.49449	2.29297	2.79119	2.59466	4.5	
2.6: 	0.587149	2.11616	3.07041	2.73698	3.19508	4.5	
2.85: 	0.796776	2.55237	4.1998	2.41682	3.72454	4.5	
3.15: 	0.830942	4.18441	5.66726	2.44288	4.06189	4.5	
3.5: 	1.56061	5.39935	6.72002	2.20118	4.11413	4.5	
3.9: 	0.940666	6.45903	7.35356	1.88586	4.3198	4.5	
4.35: 	1.23398	6.34059	7.27057	1.69115	3.98207	4.5	
5: 	1.21925	5.66071	6.91905	1.64048	4.09576	4.5	
5.8: 	2.27843	4.64043	9.08989	1.44534	4.95182	4.5	
6.6: 	3.22991	8.9997	9.21414	1.40002	5.07677	4.5	
7.5: 	2.45754	11.9408	6.48396	1.40109	4.49231	4.5	
9.5: 	5.55829	15.1614	10.916	1.44682	4.70951	4.5	
