p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
1.75	9.72	2.61264	3.94899	3.53477	2.38726	11.6229
3	9.72	1.56255	2.77075	3.18827	1.90422	10.8806
5.5	9.72	4.19178	4.69703	4.21322	1.47499	12.4112
