Pt bin	YieldExtraction	OpeningAngle	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatchingCalo	ClusterM02	ClusterMaterialTRD	ClusterEnergyScale	CellTiming	Trigger	Efficiency	YieldExtractionPi0	
5	4.38714	5.325	2.04637	0.5	4.6	6.625	1	0	1.56541	0	0	5.38516	5	13.2114
7	6.74598	5.665	2.03736	0.5	5.12	7.225	1.22	0	1.15662	0	0	5.38516	5	14.7391
9	5.55024	6.125	2.03714	0.5	5.8	8.025	1.52	0	1.04339	0	0	5.38516	5	15.105
11	2.25519	6.705	2.03714	0.5	6.64	9.025	1.9	0	1.01202	0	0	5.38516	5	15.4472
14	4.22211	7.8	2.03714	0.5	8.2	10.9	2.62	0	1.00175	0	0	5.38516	5	18.193
18	5.4254	9.68	2.03714	0.5	10.84	14.1	3.86	0	1.00013	0	0	5.38516	5	22.6661
