Pt bin	YieldExtraction	dEdxE	dEdxPi	TPCCluster	SinglePt	Chi2	Qt	Alpha	ConvPhi	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatching	ClusterM02	CellTiming	ClusterMaterialTRD	Trigger	Efficiency	
2.5	16.0634	2	1.72	1.2	3.045	5.13875	5.875	0	3.5	2.2	1.5	3.13125	5.87132	1.26875	0.95	4.24	5.15849	50.4354	54.7197
3.5	8.06787	2	1.948	1.2	3.053	5.23675	6.095	0	3.5	2.2	1.5	3.23625	4.85066	1.34875	0.95	4.24	5.15849	20.448	25.8876
5	12.9109	2	2.44	1.2	3.14	5.515	6.5	0	3.5	2.2	1.5	3.45	4.375	1.525	0.95	4.24	5.15849	8.06261	20.6637
7	2.52067	2	3.376	1.2	3.396	6.131	7.18	0	3.5	2.2	1.5	3.84	4.65375	1.865	0.95	4.24	5.15849	5.35404	16.1375
9	4.65126	2	4.632	1.2	3.812	7.027	8.02	0	3.5	2.2	1.5	4.35	5.46344	2.325	0.95	4.24	5.15849	5.04093	18.0098
11	6.75629	2	6.208	1.2	4.388	8.203	9.02	0	3.5	2.2	1.5	4.98	6.64586	2.905	0.95	4.24	5.15849	5.00473	20.6879
14	5.92428	2	9.172	1.2	5.552	10.492	10.82	0	3.5	2.2	1.5	6.15	9.04073	4	0.95	4.24	5.15849	5.00019	24.7226
