p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
0.75	9	0.460428	0.297103	1.31034	3.56778	9.92861
1.25	9	0.702743	0.753331	0.47002	0.695861	9.22745
1.75	9	1.28896	0.77686	0.768408	0.746296	9.33358
2.25	9	1.85488	0.832518	1.36783	1.51135	9.60781
3.25	9	1.41305	0.99389	1.05455	0.690709	9.43644
5	9	2.88783	0.80582	1.06972	0.434903	9.76039
5	9	2.88783	0.80582	1.06972	0.434903	9.76039
