1: 	0.950076	2.94335	1.08323	0	2.23934	4.5	
1.2: 	0.829881	2.96824	0.91953	0	1.72018	4.5	
1.4: 	1.18755	2.38785	1.65582	0	1.88126	4.5	
1.6: 	1.14022	1.98788	1.43359	0	1.69476	4.5	
1.8: 	0.926203	1.74891	1.17421	0	1.39568	4.5	
2: 	0.586017	1.43178	1.13749	0	1.0752	4.5	
2.2: 	0.424978	1.61088	1.36874	0	0.850501	4.5	
2.4: 	0.366897	1.98717	1.60358	0	0.765286	4.5	
2.6: 	0.310727	1.95759	1.74195	0	0.792817	4.5	
2.85: 	0.269223	2.31431	2.14144	0	0.914905	4.5	
3.15: 	0.31299	2.19941	2.24296	0	1.08385	4.5	
3.5: 	0.228159	2.77203	2.63239	0	1.29792	4.5	
3.9: 	0.226948	2.57737	3.3114	0	1.57202	4.5	
4.35: 	0.365758	2.94619	3.28205	0	1.98659	4.5	
5: 	0.437587	1.59172	3.76695	0	2.65437	4.5	
5.8: 	1.31706	3.47416	5.68065	0	3.67427	4.5	
6.6: 	0.430171	5.16363	6.31136	0	3.31428	4.5	
7.5: 	2.23316	5.12697	11.0733	0	3.712	4.5	
9.5: 	1.81573	7.97857	14.0414	0	2.20237	4.5	
