p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
1.75	9.72	17.3016	38.3282	15.8332	34.7894	57.653
3	9.72	32.22	36.9574	8.33631	15.3202	52.9402
5.5	9.72	17.0644	14.214	7.51539	11.8282	28.0017
