1.5	-9.47543	9.47543	-8.47385	8.47385
1.7	-8.56525	8.56525	-7.44217	7.44217
1.9	-6.98733	6.98733	-5.55385	5.55385
2.1	-6.72472	6.72472	-5.2196	5.2196
2.3	-7.25311	7.25311	-5.88473	5.88473
2.5	-6.39856	6.39856	-4.79208	4.79208
2.8	-6.2869	6.2869	-4.64193	4.64193
3.25	-6.44005	6.44005	-4.84733	4.84733
3.75	-6.49709	6.49709	-4.92286	4.92286
4.5	-7.08688	7.08688	-5.67858	5.67858
5.5	-8.2695	8.2695	-7.09979	7.09979
7	-8.72088	8.72088	-7.62077	7.62077
9	-9.67069	9.67069	-8.69164	8.69164
11	-13.7393	13.7393	-13.0687	13.0687
