0.9	-7.48225	7.48225	-5.90183	5.90183
1.1	-8.46917	8.46917	-7.11156	7.11156
1.3	-6.34815	6.34815	-4.37567	4.37567
1.5	-6.36972	6.36972	-4.40691	4.40691
1.7	-6.43321	6.43321	-4.49818	4.49818
1.9	-6.54153	6.54153	-4.65179	4.65179
2.1	-6.53182	6.53182	-4.63812	4.63812
2.3	-6.66239	6.66239	-4.82027	4.82027
2.5	-6.45044	6.45044	-4.52279	4.52279
2.8	-7.43437	7.43437	-5.84101	5.84101
3.25	-6.73803	6.73803	-4.92428	4.92428
3.75	-8.50286	8.50286	-7.15165	7.15165
4.5	-7.06824	7.06824	-5.36727	5.36727
5.5	-7.3218	7.3218	-5.69704	5.69704
7	-8.33388	8.33388	-6.9499	6.9499
9	-16.4995	16.4995	-15.8456	15.8456
