p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
1.75	9.72	32.5777	11.1337	8.8534	5.99302	37.3369
3	9.72	17.2321	12.8503	5.91854	5.7238	24.9869
5.5	9.72	29.0031	19.4114	7.77961	6.93963	37.698
