Pt bin	YieldExtraction	dEdxE	dEdxPi	TPCCluster	SinglePt	Chi2	Qt	Alpha	ConvPhi	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatching	ClusterM02	CellTiming	ClusterMaterialTRD	Trigger	Efficiency	YieldExtractionPi0	
2.5	16.0634	2.5	2.72	1.2	4.37	5.13875	5.875	0	3.5	2.47324	2.12132	4.175	5.87132	2.5375	0	0	0	69.2376	4.02781	72.4184
3.5	8.06787	2.5	2.948	1.2	4.498	5.23675	6.095	0	3.5	2.47324	2.12132	4.315	4.85066	2.6975	0	0	0	26.8804	0.887466	31.0147
5	12.9109	2.5	3.44	1.2	4.84	5.515	6.5	0	3.5	2.47324	2.12132	4.6	4.375	3.05	0	0	0	9.52028	1.55562	21.162
7	2.52067	2.5	4.376	1.2	5.576	6.131	7.18	0	3.5	2.47324	2.12132	5.12	4.65375	3.73	0	0	0	5.84869	0.22417	16.5026
9	4.65126	2.5	5.632	1.2	6.632	7.027	8.02	0	3.5	2.47324	2.12132	5.8	5.46344	4.65	0	0	0	5.43841	4.23058	19.3437
11	6.75629	2.5	7.208	1.2	8.008	8.203	9.02	0	3.5	2.47324	2.12132	6.64	6.64586	5.81	0	0	0	5.39132	7.75247	23.4972
14	5.92428	2.5	10.172	1.2	10.672	10.492	10.82	0	3.5	2.47324	2.12132	8.2	9.04073	8	0	0	0	5.38541	7.33232	28.3886
