Pt bin	YieldExtraction	dEdxE	dEdxPi	TPCCluster	SinglePt	Chi2	Qt	Alpha	ConvPhi	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatching	ClusterM02	CellTiming	ClusterMaterialTRD	Trigger	Efficiency	
4.5	1.9293	1.5	1.256	0.8	1.101	1.30475	1.455	0	1.8	1.13	1.5	2.2475	1.82862	1.45875	0.95	4.24	7.63655	7.25234	12.7859
5.5	2.72324	1.5	1.644	0.8	1.189	1.54275	1.755	0	1.8	1.13	1.5	2.3575	2.14863	1.59875	0.95	4.24	7.63655	3.78579	11.5795
6.5	4.8359	1.5	2.112	0.8	1.317	1.85075	2.095	0	1.8	1.13	1.5	2.4875	2.47763	1.76875	0.95	4.24	7.63655	2.60717	12.2342
7.5	3.76241	1.5	2.66	0.8	1.485	2.22875	2.475	0	1.8	1.13	1.5	2.6375	2.81562	1.96875	0.95	4.24	7.63655	2.20644	12.1732
8.5	3.37663	1.5	3.288	0.8	1.693	2.67675	2.895	0	1.8	1.13	1.5	2.8075	3.16263	2.19875	0.95	4.24	7.63655	2.07019	12.5562
9.5	6.67836	1.5	3.996	0.8	1.941	3.19475	3.355	0	1.8	1.13	1.5	2.9975	3.51863	2.45875	0.95	4.24	7.63655	2.02386	14.3991
11	6.77045	1.5	5.208	0.8	2.388	4.103	4.12	0	1.8	1.13	1.5	3.32	4.0695	2.905	0.95	4.24	7.63655	2.00473	15.5738
14	2.20713	1.5	8.172	0.8	3.552	6.392	5.92	0	1.8	1.13	1.5	4.1	5.232	4	0.95	4.24	7.63655	2.00019	17.731
