p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
1.75	9.72	6.96181	2.38829	1.12977	2.00323	12.4072
3	9.72	3.17189	3.10044	1.35975	1.29315	10.8477
5.5	9.72	5.23315	5.63572	1.89474	1.33241	12.6092
