p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
0.75	9	3.33933	5.29301	7.8185	4.96149	14.4478
1.25	9	7.04861	3.58137	3.25103	5.52843	13.7384
1.75	9	3.75817	2.2642	3.06907	7.14962	12.8779
2.25	9	11.2696	3.25337	6.14555	3.27854	16.5205
3.25	9	7.69348	0.828249	4.18627	5.35643	13.9322
5	9	7.64599	8.75144	8.40041	8.55444	19.1932
5	9	7.64599	8.75144	8.40041	8.55444	19.1932
