p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
0.5	9.72	13.4196	22.9589	35.7192	26.4873	52.7173
0.7	9.72	24.1428	18.273	13.6715	17.0703	38.5949
0.9	9.72	3.08062	9.57134	5.01133	5.98079	16.0144
1.1	9.72	10.4081	2.78724	3.23736	2.69415	15.1101
1.3	9.72	3.01485	3.5241	2.61523	4.04969	11.7994
1.5	9.72	3.06907	6.54826	3.75583	2.80604	12.9907
1.7	9.72	4.43687	3.97894	2.08245	1.98424	11.7588
1.9	9.72	4.54758	3.22908	2.66656	2.10643	11.7104
2.1	9.72	2.97904	3.85406	2.02778	1.50775	11.1621
2.3	9.72	3.33139	4.99468	2.68274	3.22243	12.1698
2.5	9.72	4.04579	4.748	3.94576	2.28241	12.4165
2.8	9.72	4.0795	3.37408	1.92149	1.14471	11.2919
3.25	9.72	3.28548	5.02157	4.48047	1.73438	12.3924
3.75	9.72	3.44484	9.17491	4.76036	0.876277	14.6271
4.5	9.72	5.90073	7.80665	4.1483	1.49249	14.4802
5.5	9.72	5.80262	7.31839	1.78931	3.88176	14.1413
7	9.72	8.75234	14.8659	1.8411	2.12707	19.9997
9	9.72	12.5499	33.2273	33.8009	4.2062	50.162
11	9.72	16.978	10.2439	2.61931	2.34162	22.361
