1: 	1.11856	2.6909	0.868187	0	3.17361	4.5	
1.2: 	1.39265	4.69854	1.95169	0	1.02144	4.5	
1.4: 	1.27303	3.05237	2.31275	0	2.94196	4.5	
1.6: 	0.684958	2.28387	1.39499	0	2.1344	4.5	
1.8: 	0.966864	2.43867	1.71813	0	1.67557	4.5	
2: 	0.883202	2.90014	1.49284	0	2.42922	4.5	
2.2: 	0.646739	3.99756	1.79407	0	1.78934	4.5	
2.4: 	1.81109	3.82354	2.84164	0	1.74425	4.5	
2.6: 	1.77766	3.33219	1.75896	0	2.59046	4.5	
2.85: 	2.22868	4.0895	2.69101	0	1.72027	4.5	
3.15: 	2.1482	2.56926	4.46423	0	2.85527	4.5	
3.5: 	1.20205	4.4827	3.32604	0	0.39023	4.5	
3.9: 	2.04584	3.5181	4.2966	0	3.38283	4.5	
4.35: 	2.55622	9.98005	4.00359	0	3.49812	4.5	
5: 	1.43557	2.68026	4.72899	0	3.70234	4.5	
5.8: 	2.24699	8.5989	4.84449	0	4.3251	4.5	
6.6: 	2.6612	21.3748	9.60228	0	5.44705	4.5	
7.5: 	2.364	9.66073	5.54409	0	5.83805	4.5	
9.5: 	2.8695	22.3382	10.1476	0	2.13927	4.5	
