p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
0.5	9.72	17.3536	22.8341	36.8785	25.5113	54.1098
0.7	9.72	8.9179	9.56726	4.30458	18.0359	24.6852
0.9	9.72	8.87408	7.42208	5.0265	8.44891	18.0268
1.1	9.72	9.92418	2.95849	4.40352	3.71802	15.3276
1.3	9.72	6.45413	2.9597	3.99257	2.74996	12.9768
1.5	9.72	5.51819	1.68555	3.3469	4.21346	12.519
1.7	9.72	3.85097	3.20381	2.09833	1.36044	11.2172
1.9	9.72	7.64504	4.84175	7.053	1.3319	15.0959
2.1	9.72	5.43039	5.57366	3.30571	3.17641	13.2684
2.3	9.72	5.19886	6.95234	3.68178	2.29967	13.7363
2.5	9.72	2.46283	5.08523	2.84188	5.28804	12.7453
2.8	9.72	2.93493	3.76891	3.89506	1.82248	11.6529
3.25	9.72	3.86859	5.35556	2.66313	1.24854	12.1152
3.75	9.72	5.17464	8.28493	5.23102	2.86542	15.0156
4.5	9.72	9.73766	6.12343	4.97546	2.0632	15.994
5.5	9.72	6.17118	13.3041	6.29714	6.85441	19.9047
7	9.72	4.10725	8.78191	5.58911	4.12377	15.3855
9	9.72	23.1373	42.586	72.4314	16.8633	89.2976
11	9.72	2.19164	40.2821	41.7285	1.55195	58.8693
