Pt bin	YieldExtraction	OpeningAngle	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatchingCalo	ClusterM02	ClusterMaterialTRD	ClusterEnergyScale	CellTiming	Trigger	Efficiency	
2.5	12.5	0	2.49117	1.5	4.175	6.15625	0.8375	4.24	3.81348	0.95	0	5	16.7081
3.5	12.5	0	1.8194	1.5	4.315	6.30625	0.8875	4.24	2.48078	0.95	0	5	16.4627
5	12.5	0	1.70268	1.5	4.6	6.625	1	4.24	1.56541	0.95	0	5	16.5463
7	12.5	0	1.69519	1.5	5.12	7.225	1.22	4.24	1.15662	0.95	0	5	16.9262
