Pt bin	YieldExtraction	OpeningAngle	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatchingCalo	ClusterM02	ClusterMaterialTRD	ClusterEnergyScale	CellTiming	Trigger	Efficiency	
5	4.38714	0	1.70268	1.5	4.6	6.625	1	4.24	1.56541	0.95	5.15849	8.06261	14.2616
7	6.74598	0	1.69519	1.5	5.12	7.225	1.22	4.24	1.15662	0.95	5.15849	5.35404	14.3537
9	5.55024	0	1.695	1.5	5.8	8.025	1.52	4.24	1.04339	0.95	5.15849	5.04093	14.4315
11	2.25519	0	1.695	1.5	6.64	9.025	1.9	4.24	1.01202	0.95	5.15849	5.00473	14.5231
14	4.22211	0	1.695	1.5	8.2	10.9	2.62	4.24	1.00175	0.95	5.15849	5.00019	16.9517
18	5.4254	0	1.695	1.5	10.84	14.1	3.86	4.24	1.00013	0.95	5.15849	5	20.9108
