p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
0.5	9.72	8.4512	2.46845	2.48289	25.3327	28.634
0.7	9.72	3.61843	3.45809	3.9963	2.77183	11.9659
0.9	9.72	3.17002	2.54433	1.64824	2.42523	10.9362
1.1	9.72	1.07334	1.46715	1.14549	2.10884	10.1756
1.3	9.72	1.54501	3.05114	0.713216	0.811319	10.3606
1.5	9.72	1.24756	3.55344	0.666006	0.498415	10.4572
1.7	9.72	2.01138	3.4793	0.613233	0.443846	10.5453
1.9	9.72	3.44284	5.63541	0.682486	0.460386	11.78
2.1	9.72	3.31419	7.2519	0.302398	2.08897	12.7478
2.3	9.72	2.19328	6.74378	0.918422	0.746308	12.09
2.5	9.72	1.54827	6.04526	1.04002	1.01858	11.6422
2.8	9.72	1.70863	7.88499	2.6039	1.58492	12.9947
3.25	9.72	1.38161	8.57273	1.32404	1.7943	13.2231
3.75	9.72	1.86248	10.3493	1.73553	2.31901	14.6098
4.5	9.72	1.93231	10.4589	2.13671	0.633153	14.5797
5.5	9.72	4.48882	14.899	3.45323	1.70014	18.7463
7	9.72	2.08613	10.8407	1.01998	0.867372	14.7697
9	9.72	15.2703	19.2956	4.17283	4.90877	27.2303
11	9.72	4.60751	60.4457	12.5465	1.95164	62.6946
