Pt bin	YieldExtraction	dEdxE	dEdxPi	TPCCluster	SinglePt	Chi2	Qt	Alpha	ConvPhi	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatching	ClusterM02	CellTiming	ClusterMaterialTRD	Trigger	Efficiency	
1.25	25.6278	2	1.5475	1.2	3.09125	5.11469	5.65625	1.5	1	2.2	1.5	3.04219	8.85788	1.21094	0.95	4.24	0	5	29.6464
1.75	10.3601	2	1.6015	1.2	3.06525	5.11119	5.73625	1.5	1	2.2	1.5	3.07219	7.34012	1.22844	0.95	4.24	0	5	17.4923
2.5	10	2	1.72	1.2	3.045	5.13875	5.875	1.5	1	2.2	1.5	3.13125	5.87132	1.26875	0.95	4.24	0	5	16.7891
3.5	10	2	1.948	1.2	3.053	5.23675	6.095	1.5	1	2.2	1.5	3.23625	4.85066	1.34875	0.95	4.24	0	5	16.6236
5	10	2	2.44	1.2	3.14	5.515	6.5	1.5	1	2.2	1.5	3.45	4.375	1.525	0.95	4.24	0	5	16.8725
