          0.03       1644.42
          0.09       1457.93
          0.15       1178.97
          0.21       917.222
          0.27       699.475
          0.33       533.192
          0.39       408.565
          0.45       315.192
          0.51        243.06
          0.57       189.404
          0.63       148.612
          0.69       116.967
          0.75       92.7831
          0.81       73.6964
          0.87       59.0827
          0.93       47.4998
          0.99       38.3173
          1.05       31.1056
          1.11       25.2714
          1.17       20.7062
          1.23       16.9374
          1.29       13.8216
          1.35       11.3965
          1.41       9.30486
          1.47       7.74167
          1.53       6.35171
          1.59       5.25937
          1.65       4.37564
          1.71        3.6534
          1.77       2.99232
          1.83       2.49974
          1.89       2.07004
          1.95       1.74457
          2.01       1.46284
          2.07       1.17845
          2.13       1.00454
          2.19       0.85933
          2.25      0.707408
          2.31      0.589332
          2.37      0.492524
          2.43       0.40835
          2.49      0.348329
          2.55      0.289157
          2.61      0.242018
          2.67      0.199342
          2.73       0.17199
          2.79       0.14581
          2.85      0.118376
          2.91      0.103859
          2.97     0.0908053
          3.03     0.0749454
          3.09     0.0628552
          3.15     0.0489032
          3.21     0.0438691
          3.27     0.0377421
          3.33     0.0307957
          3.39     0.0248523
          3.45     0.0241705
          3.51     0.0209963
          3.57     0.0160072
          3.63     0.0142523
          3.69     0.0105257
          3.75    0.00830234
          3.81    0.00794672
          3.87    0.00715617
          3.93    0.00544564
          3.99    0.00472136
          4.05    0.00303444
          4.11    0.00361484
          4.17    0.00294684
          4.23    0.00358241
          4.29    0.00166622
          4.35    0.00164536
          4.41    0.00123088
          4.47    0.00236432
          4.53   0.000946044
          4.59   0.000807076
          4.65   0.000983482
          4.71   0.000848918
          4.77   0.000479396
          4.83   0.000236405
          4.89   0.000702458
          4.95   0.000115239
          5.01   0.000114571
          5.07   0.000112315
          5.13   5.58901e-05
          5.19   0.000165161
          5.25    0.00021729
          5.31     5.383e-05
          5.37    5.3136e-05
          5.43   0.000104799
          5.49   0.000103902
          5.55   0.000154546
          5.61   5.09961e-05
          5.67   5.03097e-05
          5.73   4.95853e-05
          5.79   4.94897e-05
