4.5	0.05577165681626077
9.5	0.08003381315207912
14.5	0.10836764537959684
19.5	0.13695119751089213
24.5	0.16470082911961
29.5	0.19100099028954182
34.5	0.21572413906244775
39.5	0.23886795508441191
44.5	0.26038668246630536
49.5	0.2803777514252313
54.5	0.29891716535627
59.5	0.31610231993523574
64.5	0.3320628987834634
69.5	0.34689292493382434
74.5	0.3607072640620059
79.5	0.3735941698933223
84.5	0.385595864703829
89.5	0.3968154387962431
94.5	0.40732750857149297
99.5	0.4171568762934959
104.5	0.4263711589136652
109.5	0.43503266321963097
114.5	0.4431390404072805
119.5	0.45075556104141024
124.5	0.45789197538807197
129.5	0.46459044340727434
134.5	0.4708692018722302
139.5	0.4767554638971921
144.5	0.4822621746467467
149.5	0.4874129440598342
154.5	0.49222079979513483
159.5	0.49670870093954206
164.5	0.5008955820908121
169.5	0.5047972138891036
174.5	0.5084333774571509
179.5	0.5118355415933621
184.5	0.5150357379939956
189.5	0.5180921082626303
194.5	0.5210522984093658
