%: table_doi: 10.17182/hepdata.57899.v1/t1
%: name: Table 1
%: description: The measured prompt photon cross section as a function of transverse energy  for the |pseudorapidity| range < 0.6.

%: data_file: Table1.yaml
%: keyword reactions: P P --> GAMMA X
%: keyword observables: DSIG/DET
%: keyword phrases: Inclusive | Prompt | Single Differential Cross Section | Proton-Proton Scattering
%: RE			P P --> GAMMA X
%: ET(C=ISO) [GEV]			< 4
%: ABS(ETARAP(C=GAMMA))			< 0.6
%'ET [GEV]'	'ET [GEV] LOW'	'ET [GEV] HIGH'	'D(SIG)/DET [PB/GEV]'	'stat +'	'stat -'	'sys_1 +'	'sys_1 -'	'sys_2 +'	'sys_2 -'	'sys_3 +'	'sys_3 -'	'sys_4 +'	'sys_4 -'	'sys	luminosity uncertainty +'	'sys	luminosity uncertainty -'
50.0	45.0	55.0	83.3	0.5	-0.5	4.8	-4.8	3.3	-3.3	3.4	-3.4	2.5	-2.5	'3.4%'	'-3.4%'
62.5	55.0	70.0	32.7	0.3	-0.3	1.8	-1.8	1.2	-1.2	1.2	-1.2	1.0	-1.0	'3.4%'	'-3.4%'
77.5	70.0	85.0	12.3	0.2	-0.2	0.6	-0.6	0.4	-0.4	0.4	-0.4	0.4	-0.4	'3.4%'	'-3.4%'
92.5	85.0	100.0	5.3	0.1	-0.1	0.2	-0.2	0.2	-0.2	0.2	-0.2	0.2	-0.2	'3.4%'	'-3.4%'
112.5	100.0	125.0	2.2	0.05	-0.05	0.1	-0.1	0.1	-0.1	0.1	-0.1	0.1	-0.1	'3.4%'	'-3.4%'
137.5	125.0	150.0	0.8	0.03	-0.03	0.03	-0.03	0.03	-0.03	0.02	-0.02	0.03	-0.03	'3.4%'	'-3.4%'
175.0	150.0	200.0	0.26	0.01	-0.01	0.01	-0.01	0.01	-0.01	0.01	-0.01	0.01	-0.01	'3.4%'	'-3.4%'
300.0	200.0	400.0	0.028	0.002	-0.002	0.002	-0.002	0.001	-0.001	0.0004	-0.0004	0.0008	-0.0008	'3.4%'	'-3.4%'

