#: table_doi: 10.17182/hepdata.42882.v1/t2
#: name: Table 2
#: description: The 630 GeV isolated photon cross section. The systematic (DSYS) uncertainties include the normalisation uncertainties which are 100 PCT correlated bin to bin.

#: data_file: Table2.yaml
#: keyword reactions: PBAR P --> GAMMA X
#: keyword observables: D2SIG/DETARAP/DPT
#: keyword phrases: Inclusive | Double Differential Cross Section | Transverse Momentum Dependence
#: keyword cmenergies: 630.0
#: RE,PBAR P --> GAMMA X
#: SQRT(S) [GeV],630.0,,,,
'PT [GEV]','D2(SIG)/DPT/DETARAP [PB/GEV]','stat +','stat -','sys +','sys -'
9.9,7550.0,717.0,-717.0,1631.0,-1631.0
11.9,2900.0,244.0,-244.0,545.0,-545.0
14.3,1260.0,107.0,-107.0,208.0,-208.0
17.4,489.0,58.0,-58.0,76.0,-76.0
20.8,192.0,29.0,-29.0,29.0,-29.0
25.7,54.0,12.4,-12.4,8.0,-8.0
33.6,20.3,5.1,-5.1,3.0,-3.0

