%: table_doi: 10.17182/hepdata.57465.v1/t1
%: name: Table 1
%: description: The measured prompt photon cross section as a function of transverse energy for the |pseudorapidity| range < 0.6.

%: data_file: Table1.yaml
%: keyword reactions: P P --> GAMMA X
%: keyword observables: DSIG/DET
%: keyword phrases: Inclusive | Prompt | Single Differential Cross Section | Proton-Proton Scattering
%: keyword cmenergies: 7000.0
%: RE			P P --> GAMMA X
%: ABS(ETARAP)			< 0.6
%: SQRT(S) [GeV]			7000.0
%'ET [GEV]'	'ET [GEV] LOW'	'ET [GEV] HIGH'	'D(SIG)/DET [NB/GEV]'	'stat +'	'stat -'	'sys +'	'sys -'	'sys	luminosity uncertainty +'	'sys	luminosity uncertainty -'
17.5	15.0	20.0	5.24	0.11	-0.11	1.3	-1.4	'11.0%'	'-11.0%'
22.5	20.0	25.0	1.88	0.05	-0.05	0.36	-0.36	'11.0%'	'-11.0%'
27.5	25.0	30.0	0.88	0.03	-0.03	0.16	-0.15	'11.0%'	'-11.0%'
32.5	30.0	35.0	0.461	0.016	-0.016	0.068	-0.068	'11.0%'	'-11.0%'
37.5	35.0	40.0	0.254	0.011	-0.011	0.038	-0.038	'11.0%'	'-11.0%'
45.0	40.0	50.0	0.115	0.005	-0.005	0.016	-0.015	'11.0%'	'-11.0%'
55.0	50.0	60.0	0.05	0.003	-0.003	0.0074	-0.0063	'11.0%'	'-11.0%'
80.0	60.0	100.0	0.012	0.0007	-0.0007	0.0018	-0.0017	'11.0%'	'-11.0%'

