2.000000000000000111e-01 1.982982226823054236e-02 5.100843262456803773e-04
2.974358974358974339e-01 1.603232266752814550e-02 4.147625962062828544e-04
3.948717948717949122e-01 1.287531139680097962e-02 3.370083525993310494e-04
4.923076923076923350e-01 1.144838310273404297e-02 3.049116702540008959e-04
5.897435897435897578e-01 1.214268452352772025e-02 3.281788691347051114e-04
6.871794871794871806e-01 1.324324376264766900e-02 3.626255884115572089e-04
7.846153846153847145e-01 1.556325679848385123e-02 4.285120281497909627e-04
8.820512820512820262e-01 1.788326983432005080e-02 4.948911528519037845e-04
9.794871794871795601e-01 2.038658834460710390e-02 5.640775851921984779e-04
1.076923076923076872e+00 2.290958694653367697e-02 6.336734820805114314e-04
1.174358974358974406e+00 2.525182746326271391e-02 6.971871002415376637e-04
1.271794871794871717e+00 2.738349299217235355e-02 7.536972165733307793e-04
1.369230769230769251e+00 2.951515852108200361e-02 8.104031580639670931e-04
1.466666666666666563e+00 3.116548849352484066e-02 8.529003029090670472e-04
1.564102564102564097e+00 3.268575815349113872e-02 8.919878858859991164e-04
1.661538461538461409e+00 3.420602781345746801e-02 9.315269627922125040e-04
1.758974358974358942e+00 3.514067482930838954e-02 9.553631722141605557e-04
1.856410256410256476e+00 3.603914749603110562e-02 9.789814372672461448e-04
1.953846153846153788e+00 3.693762016275380783e-02 1.003333519321717923e-03
2.051282051282051544e+00 3.729808354292834388e-02 1.014415296866637240e-03
2.148717948717948634e+00 3.765435197454704980e-02 1.026385080500668298e-03
2.246153846153846168e+00 3.800727393720761127e-02 1.039232859335325514e-03
2.343589743589743701e+00 3.793100556470171969e-02 1.042115788680812857e-03
2.441025641025641235e+00 3.785473719219586280e-02 1.046099433723591101e-03
2.538461538461538769e+00 3.775981319438640599e-02 1.050677841099888600e-03
2.635897435897436303e+00 3.736287528668780916e-02 1.048357611840307563e-03
2.733333333333333393e+00 3.696593737898932336e-02 1.047141239693701433e-03
2.830769230769230926e+00 3.652179700920074601e-02 1.045642264959172280e-03
2.928205128205128460e+00 3.590296673651980491e-02 1.040057977992259490e-03
3.025641025641025994e+00 3.528413646383884300e-02 1.035514045927781509e-03
3.123076923076923084e+00 3.458859156198083873e-02 1.029290051482126267e-03
3.220512820512820618e+00 3.382719463457937309e-02 1.021679820376780994e-03
3.317948717948718151e+00 3.305765019591799109e-02 1.014641636376864770e-03
3.415384615384615685e+00 3.221221772561301544e-02 1.004981017515228260e-03
3.512820512820513219e+00 3.136678525530801204e-02 9.961569321503950612e-04
3.610256410256410309e+00 3.047890833495527432e-02 9.853482339836311214e-04
3.707692307692307843e+00 2.958576581683206377e-02 9.748277792585010931e-04
3.805128205128205376e+00 2.867459330640988527e-02 9.631373948495382427e-04
3.902564102564102910e+00 2.775744992350672596e-02 9.510211159121115341e-04
4.000000000000000000e+00 2.695940726930945441e-02 9.400965580665649303e-04
