0.50	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	-14.31	14.39	0.00	0.00	0.00	0.00	-0.26	0.28	0.00	0	0	0.00	-8.77	0.00
0.70	-4.00	1.68	-2.83	-3.64	4.57	0.00	-0.982754	0.840649	-0.69	-11.82	2.88	-8.36	-2.12	2.10	-1.50	-2.75	1.61	-1.94	-4.17948	1.85827	-2.96	-13.04	-9.65
0.90	-0.30	0.92	0.00	0.00	0.00	0.00	0	0	0.00	-0.69	0.74	0.00	-0.25	0.88	0.00	-2.45	1.73	-1.73	-0.756561	0.805264	0.00	-8.94	-1.73
1.10	-0.09	0.36	0.00	0.00	0.00	0.00	-0.52247	0.138569	-0.37	-0.99	0.31	-0.70	-0.19	0.35	0.00	-0.65	0.91	0.00	-0.777405	0.184952	-0.55	-8.82	-0.96
1.30	-0.30	0.28	-0.21	-0.07	0.38	0.00	0	0	0.00	-1.06	0.23	-0.75	-0.05	0.29	0.00	-1.88	1.50	-1.33	-0.675367	0.254701	-0.48	-8.92	-1.61
1.50	-0.44	0.23	-0.31	-0.12	0.31	0.00	-0.207954	0.0651578	-0.15	-0.83	0.21	-0.59	-0.29	0.25	-0.21	-2.37	0.86	-1.68	-0.692252	0.203309	-0.49	-8.97	-1.89
1.70	-0.53	0.23	-0.37	-0.30	0.30	-0.21	-0.171408	0.0753883	-0.12	-1.08	0.19	-0.76	-0.39	0.26	-0.28	-2.39	0.91	-1.69	-0.719732	0.199873	-0.51	-8.99	-1.99
1.90	-0.39	0.22	-0.27	-0.60	0.25	-0.43	-0.764343	0.146957	-0.54	-0.60	0.20	-0.42	0.00	0.00	0.00	-3.63	1.01	-2.57	-0.527306	0.201285	-0.37	-9.18	-2.73
2.10	-0.70	0.26	-0.49	-1.16	0.25	-0.82	0	0	0.00	-0.95	0.23	-0.67	-0.33	0.35	0.00	-4.04	1.20	-2.86	-0.805925	0.220361	-0.57	-9.31	-3.14
2.30	-0.58	0.30	-0.41	0.00	0.00	0.00	0	0	0.00	-0.25	0.45	0.00	0.00	0.00	0.00	-4.67	1.10	-3.30	-0.222339	0.313909	0.00	-9.38	-3.33
2.50	0.00	0.00	0.00	-0.18	0.36	0.00	-0.482314	0.22383	-0.34	-0.88	0.40	-0.62	-0.11	0.47	0.00	-3.70	1.43	-2.61	-0.249159	0.290844	0.00	-9.18	-2.71
2.80	-3.44	0.37	-2.43	-3.25	0.34	-2.30	-1.91995	0.430992	-1.36	-3.65	0.42	-2.58	-2.17	0.42	-1.54	-4.89	1.05	-3.46	-3.04966	0.355938	-2.16	-10.75	-6.22
3.25	0.00	0.00	0.00	0.00	0.00	0.00	-0.357345	0.256331	-0.25	0.00	0.00	0.00	0.00	0.00	0.00	-1.92	3.16	0.00	0	0	0.00	-8.77	-0.25
3.75	0.00	0.00	0.00	0.00	0.00	0.00	-0.510969	0.245803	-0.36	0.00	0.00	0.00	0.00	0.00	0.00	-8.64	1.33	-6.11	0	0	0.00	-10.69	-6.12
4.50	-0.69	0.57	-0.49	-1.22	1.23	0.00	-0.419815	0.31595	-0.30	-1.44	0.40	-1.02	-0.87	0.99	0.00	-15.45	2.02	-10.93	0	0	0.00	-14.06	-10.99
5.50	-2.19	0.49	-1.55	-0.07	0.82	0.00	-2.26461	0.664985	-1.60	-2.12	0.48	-1.50	0.00	0.00	0.00	0.00	0.00	0.00	-1.45924	0.715665	-1.03	-9.23	-2.88
7.00	0.00	0.00	0.00	-0.65	1.38	0.00	0	0	0.00	0.00	0.00	0.00	-1.11	1.18	0.00	-33.29	9.57	-23.54	-1.93867	0.801664	-1.37	-25.16	-23.58
