0.55	0.00	0.00	0.00	3.12	22.49	0.00	8.10	3.32	5.73	3.08	15.58	0.00	0.00	0.00	0.00	17.29	71.42	0.00	5.72	12.86	0.00	28.41	10.18	20.09	21.44	21.44	20.89
0.85	1.25	5.60	0.00	8.23	9.50	0.00	0.58	3.77	0.00	4.73	3.50	3.35	1.21	5.39	0.00	2.34	31.11	0.00	4.84	6.92	0.00	2.82	5.43	0.00	5.86	5.86	3.35
1.20	3.25	3.35	0.00	5.82	4.57	4.12	0.00	0.00	0.00	4.46	2.18	3.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.07	7.07	5.19
1.60	0.00	0.00	0.00	0.00	0.00	0.00	0.99	3.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.91	21.07	23.98	3.46	3.32	2.45	0.46	0.24	0.33	24.58	5.41	2.47
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.55	18.40	0.00	1.91	2.92	0.00	0.00	0.00	0.00	4.81	4.81	0.00
2.40	1.64	3.30	0.00	0.79	3.92	0.00	3.08	4.20	0.00	0.00	0.00	0.00	0.91	2.27	0.00	0.00	0.00	0.00	1.63	3.19	0.00	0.00	0.00	0.00	4.81	4.81	0.00
2.80	0.00	0.00	0.00	0.00	0.00	0.00	3.47	4.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.56	22.75	23.73	4.11	4.81	0.00	0.00	0.00	0.00	24.22	4.81	0.00
3.25	6.86	3.35	4.85	13.64	4.48	9.64	1.58	2.48	0.00	12.59	3.18	8.90	0.87	2.07	0.00	25.10	24.22	17.75	5.95	2.61	4.20	5.63	3.24	3.98	23.82	15.89	15.14
3.75	1.29	2.49	0.00	5.43	3.01	3.84	3.91	4.44	0.00	3.61	2.26	2.55	0.00	0.00	0.00	19.85	26.37	0.00	9.89	5.33	7.00	0.00	0.00	0.00	9.66	9.66	8.38
5.00	1.11	2.86	0.00	1.71	3.06	0.00	2.59	4.17	0.00	3.39	2.23	2.40	0.00	0.00	0.00	15.68	21.76	0.00	1.66	2.51	0.00	0.00	0.00	0.00	5.37	5.37	2.40
7.00	4.35	8.11	0.00	21.94	10.47	15.51	6.51	10.62	0.00	18.97	8.09	13.41	0.00	0.00	0.00	47.85	53.65	0.00	9.43	12.21	0.00	9.27	5.07	6.56	22.06	22.06	21.53
