0.55	0.53	0.61	0.00	11.39	5.49	8.05	0.29	0.10	0.20	0.00	0.00	0.00	0.39	0.59	0.00	0.00	0.00	0.00	0.01	1.19	0.00	0.31	0.19	0.22	9.38	9.38	8.06
0.85	0.00	0.00	0.00	3.46	1.22	2.45	0.64	0.23	0.45	0.00	0.00	0.00	0.00	0.00	0.00	1.02	2.17	0.00	0.00	0.00	0.00	0.31	0.28	0.22	5.42	5.42	2.50
1.20	0.00	0.00	0.00	2.93	0.68	2.07	0.11	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.41	1.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.24	5.24	2.07
1.60	0.00	0.00	0.00	1.79	0.63	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.27	2.09	1.60	0.00	0.00	0.00	0.00	0.00	0.00	5.22	4.97	1.26
2.00	0.10	0.28	0.00	1.05	0.68	0.74	0.38	0.15	0.27	0.00	0.00	0.00	0.05	0.35	0.00	2.69	2.62	1.90	0.00	0.00	0.00	0.40	0.11	0.28	5.24	4.88	0.84
2.40	0.00	0.00	0.00	1.29	0.79	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	3.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.89	4.89	0.91
2.80	0.72	0.52	0.51	2.32	1.04	1.64	1.16	0.37	0.82	2.06	0.63	1.46	1.48	0.81	1.04	0.00	0.00	0.00	0.34	0.31	0.24	1.70	0.61	1.20	5.61	5.61	2.89
3.25	0.00	0.00	0.00	0.70	1.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.80	5.13	4.10	0.00	0.00	0.00	0.00	0.00	0.00	6.32	4.81	0.00
3.75	0.00	0.00	0.00	2.38	1.07	1.68	2.67	0.95	1.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.39	0.00	0.00	0.00	0.00	5.43	5.43	2.53
5.00	0.00	0.00	0.00	1.04	0.94	0.74	1.83	0.57	1.29	0.93	0.72	0.66	0.00	0.00	0.00	5.21	6.15	0.00	0.00	0.00	0.00	1.33	0.48	0.94	5.16	5.16	1.88
7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	2.96	0.00	0.00	0.00	0.00	11.73	14.84	0.00	7.93	2.47	5.61	0.00	0.00	0.00	7.39	7.39	5.61
