pt	d^2N/2PipTdydpT	d^2N/2PipTdydpT	d^2N/2PipTdydpT	d^2N/2PipTdydpT
Centrality:	0-20%	20-40%	0-40%	40-80%
0.5	15.0423064905902	4.88708364035051	8.46108336597549	0.784564159543114
0.7	4.1512939951695	1.40293962026845	2.42549166094001	0.224620953216297
0.9	1.5498275008425	0.541794946869721	0.930070158674171	0.0871435933389422
1.1	0.661087747973129	0.237373125376126	0.405750173024672	0.0383603039598174
1.3	0.318541511802793	0.117115433746998	0.199176864983133	0.0190320725767619
1.5	0.177121733749932	0.0662142272772589	0.111748055541292	0.0108297059160185
1.7	0.0969783156621594	0.0369629892024556	0.0622628693812636	0.00606517582846147
1.9	0.0614663893572904	0.0235981440822906	0.0395621374360779	0.00388677952820353
2.1	0.037765055297156	0.0146718784367681	0.0245986395999587	0.0024199325618275
2.3	0.0252850979875308	0.00987405538600538	0.0165273906296265	0.0016311301536466
2.5	0.0180789207172934	0.00710755273501143	0.0118084038453899	0.00117877043556857
2.7	0.0122661219815016	0.00484738229332139	0.00807667505285812	8.03207354800265E-4
2.9	0.00815253168461759	0.00330877733334211	0.00547911696119993	5.50463742225507E-4
3.1	0.0060746272331143	0.00247080098226019	0.00408363998917586	4.11408107323052E-4
3.3	0.00474104298391989	0.00191666194322516	0.00316687602028666	3.19042137814089E-4
3.5	0.00336952311799339	0.00139323463307999	0.00228945760215466	2.32670159651726E-4
3.7	0.002689064838196	0.0011089101744752	0.00181843640061581	1.85284152961722E-4
3.9	0.00225029907399373	9.20811947598971E-4	0.0015051305315236	1.53978768052132E-4
4.1	0.00198411850696685	8.00202469962345E-4	0.00130372667583079	1.33895405185207E-4
