5.00000000e-01  1.86630501e-01  5.55820123e-03
5.85714286e-01  1.28473791e-01  3.95274634e-03
6.71428571e-01  8.88167995e-02  2.83052251e-03
7.57142857e-01  6.20486928e-02  2.05120998e-03
8.42857143e-01  4.35280105e-02  1.49599672e-03
9.28571429e-01  3.06387589e-02  1.09680535e-03
1.01428571e+00  2.17709365e-02  8.11812266e-04
1.10000000e+00  1.55736313e-02  6.04682257e-04
1.18571429e+00  1.12337062e-02  4.54104293e-04
1.27142857e+00  8.15212800e-03  3.43036223e-04
1.35714286e+00  5.94562454e-03  2.60387346e-04
1.44285714e+00  4.35723009e-03  1.98556908e-04
1.52857143e+00  3.20798452e-03  1.52071245e-04
1.61428571e+00  2.37126018e-03  1.16918947e-04
1.70000000e+00  1.75732320e-03  9.01700000e-05
1.78571429e+00  1.30809789e-03  6.98175477e-05
1.87142857e+00  9.77015481e-04  5.42217324e-05
1.95714286e+00  7.31891964e-04  4.22243293e-05
2.04285714e+00  5.49631695e-04  3.29619224e-05
2.12857143e+00  4.13779237e-04  2.57914912e-05
2.21428571e+00  3.12371123e-04  2.02282642e-05
2.30000000e+00  2.36440304e-04  1.59000299e-05
2.38571429e+00  1.79504202e-04  1.25286665e-05
2.47142857e+00  1.36547826e-04  9.88979834e-06
2.55714286e+00  1.04095332e-04  7.82084419e-06
2.64285714e+00  7.95292030e-05  6.19557950e-06
2.72857143e+00  6.08904940e-05  4.91629702e-06
2.81428571e+00  4.67161788e-05  3.90738210e-06
2.90000000e+00  3.59128264e-05  3.11022270e-06
2.98571429e+00  2.76790162e-05  2.48027941e-06
3.07142857e+00  2.13806807e-05  1.98099976e-06
3.15714286e+00  1.65458529e-05  1.58433304e-06
3.24285714e+00  1.28260752e-05  1.26865862e-06
3.32857143e+00  9.95896199e-06  1.01708291e-06
3.41428571e+00  7.74514795e-06  8.16318393e-07
3.50000000e+00  6.03283302e-06  6.55894549e-07
