1.25	2.854e+00	4.686e-02	1.64	4.686e-02	1.64	2.005e-01	7.03	0.239
1.75	5.195e-01	6.813e-03	1.31	6.813e-03	1.31	3.620e-02	6.97	0.243
2.25	1.080e-01	1.394e-03	1.29	1.394e-03	1.29	8.024e-03	7.43	0.54
2.75	2.216e-02	3.026e-04	1.37	3.026e-04	1.37	1.714e-03	7.73	0.0353
3.25	5.407e-03	8.286e-05	1.53	8.286e-05	1.53	4.301e-04	7.95	0.341
3.75	1.625e-03	2.733e-05	1.68	2.733e-05	1.68	1.291e-04	7.94	0.217
4.25	5.498e-04	1.037e-05	1.89	1.037e-05	1.89	4.336e-05	7.89	0.0693
4.75	2.214e-04	4.584e-06	2.07	4.584e-06	2.07	1.730e-05	7.81	0.0112
5.25	8.905e-05	2.137e-06	2.4	2.137e-06	2.4	6.871e-06	7.72	0.605
5.75	4.284e-05	1.224e-06	2.86	1.224e-06	2.86	3.263e-06	7.62	0.0315
6.25	2.216e-05	6.992e-07	3.16	6.992e-07	3.16	1.672e-06	7.54	0.491
6.75	1.275e-05	3.274e-07	2.57	3.274e-07	2.57	9.467e-07	7.42	2.52e-05
7.25	6.905e-06	2.101e-07	3.04	2.101e-07	3.04	5.085e-07	7.36	0.00393
7.75	3.855e-06	1.352e-07	3.51	1.352e-07	3.51	2.823e-07	7.32	0.046
8.25	2.281e-06	9.400e-08	4.12	9.400e-08	4.12	1.671e-07	7.33	0.0247
8.75	1.490e-06	6.584e-08	4.42	6.584e-08	4.42	1.093e-07	7.34	0.0119
9.25	9.652e-07	4.987e-08	5.17	4.987e-08	5.17	7.210e-08	7.47	0.00446
9.75	6.617e-07	4.060e-08	6.14	4.060e-08	6.14	5.044e-08	7.62	1.17
11	2.566e-07	1.240e-08	4.83	1.240e-08	4.83	2.235e-08	8.71	0.000238
13	5.272e-08	5.952e-09	11.3	5.952e-09	11.3	6.247e-09	11.9	0.64
15	2.310e-08	3.360e-09	14.5	3.360e-09	14.5	3.313e-09	14.3	0.0117
17	1.019e-08	2.116e-09	20.8	2.116e-09	20.8	1.879e-09	18.4	0.487
19	4.154e-09	2.078e-09	50	2.078e-09	50	1.728e-09	41.6	0
