1.25	1.387e+00	1.907e-02	1.37	1.907e-02	1.37	9.824e-02	7.08	0.00853
1.75	2.535e-01	2.678e-03	1.06	2.678e-03	1.06	1.725e-02	6.81	0.000236
2.25	5.366e-02	5.482e-04	1.02	5.482e-04	1.02	3.910e-03	7.29	0.0513
2.75	1.245e-02	1.329e-04	1.07	1.329e-04	1.07	9.525e-04	7.65	0.0959
3.25	3.303e-03	3.816e-05	1.16	3.816e-05	1.16	2.612e-04	7.91	0.514
3.75	1.064e-03	1.350e-05	1.27	1.350e-05	1.27	8.419e-05	7.91	0.0645
4.25	3.685e-04	5.326e-06	1.45	5.326e-06	1.45	2.904e-05	7.88	0.123
4.75	1.484e-04	2.441e-06	1.64	2.441e-06	1.64	1.160e-05	7.81	0.00114
5.25	6.163e-05	1.249e-06	2.03	1.249e-06	2.03	4.763e-06	7.73	0.0753
5.75	2.915e-05	7.072e-07	2.43	7.072e-07	2.43	2.226e-06	7.64	0.228
6.25	1.520e-05	4.367e-07	2.87	4.367e-07	2.87	1.147e-06	7.54	0.0751
6.75	7.859e-06	1.891e-07	2.41	1.891e-07	2.41	5.879e-07	7.48	0.302
7.25	4.130e-06	1.258e-07	3.05	1.258e-07	3.05	3.064e-07	7.42	0.0345
7.75	2.495e-06	9.007e-08	3.61	9.007e-08	3.61	1.846e-07	7.4	0.206
8.25	1.598e-06	6.775e-08	4.24	6.775e-08	4.24	1.190e-07	7.44	0.136
8.75	1.093e-06	5.008e-08	4.58	5.008e-08	4.58	8.179e-08	7.48	0.665
9.25	6.491e-07	3.888e-08	5.99	3.888e-08	5.99	4.911e-08	7.57	0.284
9.75	4.120e-07	3.118e-08	7.57	3.118e-08	7.57	3.235e-08	7.85	2.19
11	1.529e-07	9.108e-09	5.96	9.108e-09	5.96	1.363e-08	8.91	0.0573
13	4.161e-08	4.495e-09	10.8	4.495e-09	10.8	5.080e-09	12.2	0.0301
15	1.423e-08	2.196e-09	15.4	2.196e-09	15.4	2.335e-09	16.4	1.27
17	5.631e-09	1.607e-09	28.5	1.607e-09	28.5	1.067e-09	18.9	0.163
