
%: table_doi: 10.17182/hepdata.58979.v1/t1
%: name: Table 1
%: description: Isolated photon spectra for PB PB collisions in 3 centrality ranges.

%: data_file: Table1.yaml
%: keyword reactions: PB PB --> GAMMA X
%: keyword observables: DN/DET
%: keyword phrases: Inclusive | Single Differential Distribution
%: keyword cmenergies: 2760.0
%: RE			PB PB --> GAMMA X
%: CENTRALITY [pct]			30.0-100.0
%: ABS(ETARAP)			< 1.44
%: SQRT(S)/NUCLEON [GeV]			2760.0
%'ET(P=3) [GEV]'	'ET(P=3) [GEV] LOW'	'ET(P=3) [GEV] HIGH'	'(1/TAA)*D(N)/DET [PB/GEV]'	'stat +'	'stat -'	'sys +'	'sys -'
22.3	20.0	25.0	3310.0	280.0	-280.0	950.0	-950.0
27.3	25.0	30.0	1220.0	170.0	-170.0	350.0	-350.0
34.4	30.0	40.0	353.0	60.0	-60.0	94.0	-94.0
44.5	40.0	50.0	161.0	30.0	-30.0	43.0	-43.0
61.7	50.0	80.0	24.3	49.0	-49.0	5.6	-5.6
