%: table_doi: 10.17182/hepdata.58979.v1/t1
%: name: Table 1
%: description: Isolated photon spectra for PB PB collisions in 3 centrality ranges.

%: data_file: Table1.yaml
%: keyword reactions: PB PB --> GAMMA X
%: keyword observables: DN/DET
%: keyword phrases: Inclusive | Single Differential Distribution
%: keyword cmenergies: 2760.0
%: RE			PB PB --> GAMMA X
%: CENTRALITY [pct]			10.0-30.0
%: ABS(ETARAP)			< 1.44
%: SQRT(S)/NUCLEON [GeV]			2760.0
%'ET(P=3) [GEV]'	'ET(P=3) [GEV] LOW'	'ET(P=3) [GEV] HIGH'	'(1/TAA)*D(N)/DET [PB/GEV]'	'stat +'	'stat -'	'sys +'	'sys -'
22.3	20.0	25.0	2560.0	210.0	-210.0	620.0	-620.0
27.3	25.0	30.0	1110.0	120.0	-120.0	250.0	-250.0
34.4	30.0	40.0	383.0	46.0	-46.0	85.0	-85.0
44.5	40.0	50.0	142.0	21.0	-21.0	32.0	-32.0
61.7	50.0	80.0	21.8	5.5	-5.5	5.0	-5.0
