1.25	5.411e-01	5.993e-03	1.11	5.993e-03	1.11	3.218e-02	5.95	0.0153
1.75	9.960e-02	9.732e-04	0.977	9.732e-04	0.977	6.555e-03	6.58	0.0115
2.25	2.140e-02	2.064e-04	0.965	2.064e-04	0.965	1.539e-03	7.19	0.0139
2.75	5.299e-03	5.326e-05	1.01	5.326e-05	1.01	4.027e-04	7.6	0.107
3.25	1.522e-03	1.608e-05	1.06	1.608e-05	1.06	1.198e-04	7.87	0.0582
3.75	4.873e-04	5.834e-06	1.2	5.834e-06	1.2	3.845e-05	7.89	0.0225
4.25	1.795e-04	2.504e-06	1.39	2.504e-06	1.39	1.412e-05	7.87	0.0536
4.75	7.078e-05	1.234e-06	1.74	1.234e-06	1.74	5.527e-06	7.81	0.00146
5.25	3.166e-05	6.806e-07	2.15	6.806e-07	2.15	2.448e-06	7.73	0.0464
5.75	1.587e-05	4.298e-07	2.71	4.298e-07	2.71	1.215e-06	7.65	0.0765
6.25	7.665e-06	2.515e-07	3.28	2.515e-07	3.28	5.797e-07	7.56	0.269
6.75	3.959e-06	1.234e-07	3.12	1.234e-07	3.12	2.967e-07	7.49	0.1
7.25	2.084e-06	8.773e-08	4.21	8.773e-08	4.21	1.553e-07	7.45	0.98
7.75	1.287e-06	5.941e-08	4.62	5.941e-08	4.62	9.673e-08	7.52	0.0621
8.25	8.599e-07	4.553e-08	5.29	4.553e-08	5.29	6.451e-08	7.5	0.0652
8.75	5.095e-07	3.389e-08	6.65	3.389e-08	6.65	3.850e-08	7.56	0.972
9.25	3.227e-07	2.423e-08	7.51	2.423e-08	7.51	2.589e-08	8.02	3.24
9.75	1.986e-07	1.941e-08	9.77	1.941e-08	9.77	1.578e-08	7.95	0.48
11	7.293e-08	5.503e-09	7.55	5.503e-09	7.55	6.792e-09	9.31	0.00608
13	2.226e-08	2.712e-09	12.2	2.712e-09	12.2	2.887e-09	13	0.658
15	6.331e-09	1.552e-09	24.5	1.552e-09	24.5	1.066e-09	16.8	0.376
