# type  value  stat. err
v4_L  1.7983309961e-02  8.1860852088e-04
v4(Psi2)  1.4269405053e-03  1.8919580557e-03
rho_422  7.9099427236e-02  1.0493565959e-01
chi_422  6.7080253748e+00  8.8635191831e+00
v5_L  6.8828199199e-03  5.2014476153e-04
v5(Psi23)  -4.7945778908e-04  8.1935824465e-04
rho_523  -6.9491679340e-02  1.1886974923e-01
chi_523  -7.6797939660e-01  1.3113316395e+00
v6_L  1.4664926659e-05  1.5036600008e-06
v6(Psi2)  -1.7196973163e-04  3.9621807602e-04
v6(Psi3)  -6.4708646388e-05  3.9607691369e-04
rho_6222  -4.4855924963e-02  1.0337323004e-01
rho_633  -1.6878355042e-02  1.0331475594e-01
chi_6222  -3.7910918646e+01  8.7083775924e+01
chi_633  -1.5538656224e-02  9.5101663807e-02
