#correlator  value  value_err
4(24)  6.60773e-02  1.04000e-01
6(23)  7.17444e-02  1.32375e-01
6(26)  -9.90099e-02  2.09458e-01
6(36)  -4.22310e-03  9.49969e-02
(235)  -1.20609e-02  6.93410e-02
(246)  1.10220e-01  8.52640e-02
(234)  3.52460e-02  6.50068e-02
