#correlator  value  value_err
4(24)  1.12854e-01  1.09538e-01
6(23)  -7.43351e-02  1.39709e-01
6(26)  -1.11765e-01  2.00199e-01
6(36)  -2.33820e-02  9.64412e-02
(235)  -6.48040e-02  6.65160e-02
(246)  1.05286e-01  8.89933e-02
(234)  1.88530e-02  7.87628e-02
